findings,count
No_Ether_leak_no_send,215
Not_destructible_no_self_destruct,215
No_Ether_lock_Ether_refused,215
SOLIDITY_VISIBILITY,211
non_payable_constructor,209
use_custom_error_not_require,207
compiler_version,207
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,203
func_visibility,202
reason_string,196
use_short_revert_string,194
naming_convention,188
func_name_mixedcase,162
SOLIDITY_ADDRESS_HARDCODED,158
not_rely_on_time,155
SOLIDITY_ERC20_APPROVE,154
SOLIDITY_PRAGMAS_VERSION,150
use_ownable2step,149
const_name_snakecase,148
no_empty_blocks,147
shadowing_local,130
use_nested_if,129
too_many_digits,127
immutable_states,123
SOLIDITY_SHOULD_RETURN_STRUCT,118
no_slippage_check,110
reentrancy_events,109
constable_states,107
use_prefix_increment_not_postfix,103
reentrancy_benign,103
unused_return,102
SOLIDITY_SAFEMATH,102
reentrancy_unlimited_gas,101
init_variables_with_default_value,101
reentrancy_eth,100
max_states_count,97
solc_version,81
arbitrary_send_eth,79
cyclomatic_complexity,78
use_multiple_require,75
dead_code,73
inefficient_state_variable_increment,71
var_name_mixedcase,57
SOLIDITY_UPGRADE_TO_050,56
missing_zero_check,50
unused_state,47
tautology,47
unchecked_transfer,45
unnecessary_checked_arithmetic_in_loop,40
state_variable_read_in_a_loop,39
SOLIDITY_EXTRA_GAS_IN_LOOPS,37
SOLIDITY_GAS_LIMIT_IN_LOOPS,37
weak_prng,36
array_length_outside_loop,35
SOLIDITY_UINT_CANT_BE_NEGATIVE,32
assembly,32
Integer_Arithmetic_Bugs_SWC_101,31
no_inline_assembly,30
events_maths,29
state_visibility,24
avoid_tx_origin,22
Dependence_on_tx_origin_SWC_115,21
SOLIDITY_SHOULD_NOT_BE_VIEW,20
SOLIDITY_TX_ORIGIN,20
SOLIDITY_OVERPOWERED_ROLE,20
divide_before_multiply,19
redundant_statements,19
reentrancy_no_eth,18
SOLIDITY_UNCHECKED_CALL,18
Integer_Overflow,17
low_level_calls,17
avoid_low_level_calls,16
reentrancy,15
incorrect_equality,15
pragma,14
quotes,14
SOLIDITY_DIV_MUL,13
locked_ether,13
timestamp,10
tx_origin,10
SOLIDITY_LOCKED_MONEY,9
function_init_state,8
External_Call_To_User_Supplied_Address_SWC_107,8
boolean_equal,8
contract_name_camelcase,8
shadowing_state,7
SOLIDITY_USING_INLINE_ASSEMBLY,6
SOLIDITY_REVERT_REQUIRE,6
uninitialized_local,5
Transaction_Order_Dependency,4
Locking_Ether,4
Dependence_on_predictable_environment_variable_SWC_120,4
costly_loop,4
use_abi_encodecall_instead_of_encodewithselector,3
uninitialized_state,3
Block_Dependency,3
Dependence_on_predictable_environment_variable_SWC_116,3
payable_fallback,2
erc721_reentrancy,2
calls_loop,2
arbitrary_send_erc20,2
SOLIDITY_SHOULD_NOT_BE_PURE,2
Multiple_Calls_in_a_Single_Transaction_SWC_113,2
no_complex_fallback,1
incorrect_exp,1
use_forbidden_name,1
erc20_interface,1
use_prefix_decrement_not_postfix,1
State_access_after_external_call_SWC_107,1
SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,1
write_after_write,1
